project,issue_number,issue_section,text,classification,indicator,related_commits
camel,910,comment_0,#9 its not easily understood how the client can send using the template. Maybe divide the server and client into each section. The client just need much less code than the server. #10 webservice example. It is not clear that its the *true* parameter that turns the multicast into parallel mode. This is not documented to well in the code.,code_debt,low_quality_code,"872947062d9c16bfafb8160eb08858447909dc07,b478b1493f6da617e5ebe2c0a13711a160df6cde,61a98d09e51b31d0e38e5e3da46c6197c07b6066"
camel,990,comment_3,BTW - its not really a big deal to use annotations from any particular framework in your code as annotations are a soft dependency. e.g. adding Camel annotations to your code doesn't add any direct dependency on camel. You can then use your code totally fine without any camel jars on the classpath. So there's not a huge need to 'hide' dependencies on Camel annotations - as you only need them to compile your source code. But using indirect annotations can be useful; e.g. you can have a foo.jar which defines a @Foo annotation which builds itself with camel - then folks can just add foo.jar to their classpath to get camel goodness without adding camel jars to the build. So you could introduce a kinda macro annotation that includes various framework annotations on it (say spring and camel and guice annotations :),design_debt,non-optimal_design,"881332fe1a6eed6dabbcff7118f788a366821a81,258cd2d693ef41a08796e75638118787c7143223,22a1767fb1b5ca4d09b24b5365e15bc10b600216"
camel,990,comment_4,"The original need is the following: Let's say I build a Routing System based on Camel. Of course my System will depend on Camel. But I don't want the end user of my System (who will be responsible for adding routes, converters...) to depend on any camel jar. Your solution is better (and also more time consuming than my simple metaannotation patch :)), will think about it.",design_debt,non-optimal_design,"881332fe1a6eed6dabbcff7118f788a366821a81,258cd2d693ef41a08796e75638118787c7143223,22a1767fb1b5ca4d09b24b5365e15bc10b600216"
camel,1107,description,"When using the options to configure httpClient using URI option, they should be removed from the uri that is left over to the HTTPProducer. should remove the httpClient.xxx so it's",code_debt,dead_code,4bd210597d24567c52e2e397531c9037341becf3
camel,1112,description,"when reading files from file,ftp/sftp component, it is often neccesarry to get the files in a predifined order (e.g. created date or filename). to solve this, an extra uri parameter could be used, to set the order of files beeing processed. ordering can be done after reading the file-list. i know this can also be solved by applying a resequencer pattern in the route, but i think for large files it would be hard to apply this. also a processing in an created date order would be more natural.",design_debt,non-optimal_design,"e4dd67557bf9766a7bf7e42c128c5488a5c83627,8c7f06e80c665492a6fcad3e3d85abd51aa74cf3,4ef8b8962304f16061825f76a52c5cb6dcc6d29e,ff5c824476fbf30fd1394439e93a870f4b6e5411,4e611beeb16041bd39aa04ea295958576fbb0faa,e7158c7e9fcfff63426401c798685df266d16f00,0891b2303a88ec8fab2be7af0a0f13b49e803f22"
camel,1173,comment_1,Put in an improved scatter-gather example in revision 740056. The problem with the first example was that it was not dynamic enough. Also added wiki docs here,code_debt,low_quality_code,"1ee86d6e60cb0e91b881919f7d3a267eba16282c,f6cbe6529a1084383b72c06ab215a28dee3ebed7,7afe11b51a14e9b8723dddefb73b8038b220feb7"
camel,1196,summary,MockEndpoint - sleep for empty test doesnt work,test_debt,lack_of_tests,6bebc319bfb7375d78b50974814f1bb73f85756a
camel,1228,summary,Clean up the OSGI bundle profiles,code_debt,low_quality_code,235092f3a890d4bf573c6c9c71b69a2f67805b12
camel,1256,summary,Clean up camel-cxf,code_debt,dead_code,"9be406692d2b2a92d547dafbb93452c02a06bf4e,1da750c3d50bfc5dbed8bdcaf491eeeb843de465,89b323f8a57bfaa2f47849d4d987c72445ae5b5b"
camel,1256,description,"The camel-cxf component is dued for some code cleanup and refactoring. We can clean some of of the interfaces and redundant code, etc.",code_debt,dead_code,"9be406692d2b2a92d547dafbb93452c02a06bf4e,1da750c3d50bfc5dbed8bdcaf491eeeb843de465,89b323f8a57bfaa2f47849d4d987c72445ae5b5b"
camel,1256,comment_0,"A fix has been submitted. Here is some highlights. * The fix is for 2.0 only since it involves some APIs changes that is an overkill to keep it backward compatible. Will update wiki. * It depends on CXF 2.2-SNAPSHOT now. Will upgrade CXF once the next release of CXF is available. * CxfBinding, Bus [CAMEL-1239], can be looked up from registry by the ""#"" notation. * Decouple CXF Message from Camel Message. That is, users are no longer required to cast Camel's message body to CXF Message in order to access SOAP headers and body in PAYLOAD. In PAYLOAD mode, Camel message body now returns a new type CxfPayload which contains SOAP headers and body. With CxfPayload being the body in PAYLOAD mode, It makes using Camel converter to convert to other types pretty easy and transparent. * Cleaning up the old CxfBinding and ""invoking context"". Both tried to do Camel/CXF message binding. CxfBinding is now an interface that an custom impl can be set on each endpoint. impl can also be set on each endpoint. * [CAMEL-1254] support serviceClass=#bean * some major refactoring to make code cleaner.",code_debt,low_quality_code,"9be406692d2b2a92d547dafbb93452c02a06bf4e,1da750c3d50bfc5dbed8bdcaf491eeeb843de465,89b323f8a57bfaa2f47849d4d987c72445ae5b5b"
camel,1270,description,The countdown latch in MainSupport is not completed when Main is stopping. Then we have a hanging thread. Can bee seen using ctrl + \,code_debt,multi-thread_correctness,2ebe070905933331c175d51836b0334fe3a28013
camel,1320,comment_1,"It is very similar to zip data format - it even uses the same deflate algorithm. The point is, that zip data format uses deflate algorithm directly, while gzip would use gzip file format, that is (I believe more popular). The problem with zip data format is that is is not a zip really - zip is a format that compresses set of files, while our zip data format doesn't - it just compresses data using compression algorithm of zip. On the other hand gzip is a format that compresses data (not files), uses the same algorithm, but has its own headers, that has to be interpreted. I even believe that our zip data format should be renamed to 'deflate' data format as it is the name that describes what it really is.",design_debt,non-optimal_design,"527370f8c142d373c4543d0eb26cb2f0912ed9f0,af0e8d19e1e4d4f40d6f323bf3d315c30138d335"
camel,1447,description,"See article, listening 2 We should consider renaming *handle* to *catchBlock* so its using the same name as try .. catch. And we could add a finallyBlock so end user got them all.",code_debt,low_quality_code,"bc5251bbf9f1af4c9d42524ee78d6b547b9a9264,5a301062369e28c6288c1ab3ffeb045d9c665c84,c51a64a641fe559c675849ada49a0ed31155f3a8,86e1a1c0ad9c97a3ab734739b6178eb4ea14c887"
camel,1507,description,"To send a email you have to follow a pretty specific course. This adds a property (which is poorly named in this patch) to the MailConfiguration that names the header that contains the plaintext version of the email, and adds a property where you can embed images inline. If an attachment has a filename starting with ""cid:"" then this will add the ""Content-ID"" header to that multipart body - which will allow the email client to put the image in the appropriate place when it is viewed. (i.e. the html email has something like <image src=""cid:0001"" /",code_debt,low_quality_code,"0eec0b41e2005de2adf422785c3a5b86e5a8f4a1,6cb542d49d20c5fe62e5aed80787feef682821fa,997ea7a82318563ba18c4fb948f7f6ee0057fe41,8abeb70f5d1b23a8f814e96b4c659025c3b2ffeb,da37ef162241e8dd6ad9b08bb08b3e30f0cbc316"
camel,1507,comment_0,might need some cleanup - but I have tested it and it works for me,code_debt,low_quality_code,"0eec0b41e2005de2adf422785c3a5b86e5a8f4a1,6cb542d49d20c5fe62e5aed80787feef682821fa,997ea7a82318563ba18c4fb948f7f6ee0057fe41,8abeb70f5d1b23a8f814e96b4c659025c3b2ffeb,da37ef162241e8dd6ad9b08bb08b3e30f0cbc316"
camel,1507,comment_4,I renamed the constant so its according to the Camel 2.0 syntax: rev 761182 on trunk,code_debt,low_quality_code,"0eec0b41e2005de2adf422785c3a5b86e5a8f4a1,6cb542d49d20c5fe62e5aed80787feef682821fa,997ea7a82318563ba18c4fb948f7f6ee0057fe41,8abeb70f5d1b23a8f814e96b4c659025c3b2ffeb,da37ef162241e8dd6ad9b08bb08b3e30f0cbc316"
camel,1641,comment_0,trunk: 778354. When/if CAMEL-1644 is implemented then this bug is already fixed. However remember to add the unit test in java. There is a TODO.,test_debt,lack_of_tests,"2ff122ae7255e67483691a4986741fb233d91a2f,33b21fe975a10ff0fa98a57037e53fd94c0b10fb"
camel,1842,description,"camel-cxf and camel-mail are the popular components in camel, so we need add some OSGi integration test for them.",test_debt,lack_of_tests,7b7ab09e22500c6140fafbf59e46c5d3843571c7
camel,1863,comment_1,trunk: 798902. TODO: HL7 segment that fails validation and add it to the validate unit test,test_debt,low_coverage,"b6baef0eabfd72119994b78106237e68de1ed249,d6bc88de1d057403a1dd343e21f3e12ac236175e"
camel,1881,comment_1,"@Stan, maybe you want to add a unit test? Many thanks for the patch!",test_debt,lack_of_tests,821baa57e521f7a0011f99b3bb09a13f5747298e
camel,1944,description,Currently only the camel-irc producer installs an event listener on the IRC connection to log incoming messages from the IRC server. This patch revamps the logging so that the component installs an event adapter to do logging before the connection is even established so it's easier to debug various issues that could be occurring with the connection to the IRC server.,code_debt,low_quality_code,7a3f1561f25770f35ead4c24d7896ab877398a01
camel,2094,description,We now have option {{autoStartup}} on routes. Lets also have this on the camel context itself so it replaces the option that is a bit confusing. For example the code above will not start Camel on startup. You can then later start camel manually by And then all runs. This also means that we will remove the option so if you use this option you must migrate to the autoStartup instead.,design_debt,non-optimal_design,ea55e23638226420322851307a06cce597a65c44
camel,2163,comment_3,"Stan, yeah I can see the pain now. The original code is a producer which doesnt easily allow to spawn exchanges",design_debt,non-optimal_design,02d95d4650196228ef63acffc033e99c924b7dd0
camel,2535,summary,Get ride of the cxfsoap component,code_debt,dead_code,"0d654ef76d63f65a81f465f2c5d02cc32e6a0b48,8a7a55b75361c2f2fbbdafa8609fd229884e613f"
camel,2535,description,"As we don't use the CxfSoap component any more, it's time to clean it up.",architecture_debt,using_obsolete_technology,"0d654ef76d63f65a81f465f2c5d02cc32e6a0b48,8a7a55b75361c2f2fbbdafa8609fd229884e613f"
camel,2559,comment_3,"I think I got it covered now, will do more testing. But I have reworked camel-http and camel-jetty a little big to - use endpoint configured options over component configured - not mess with the component configured - using a single shared as that is whats meant - properly registering http/https with correct port number on SchemeRegistry on",test_debt,low_coverage,"755e4647c3bdc08cf7f1d6d411cf69c2839b953f,9041239036fd53a40ff6708e982882a77182e5b6"
camel,2650,description,"This only applies for prototype scoped POJOs which uses @Produce or @Consume to inject a Camel Producer/Consumer. As the prototype scoped POJO is short lived and there could potentially be created many of those POJOs. Then @Produce / @Consume will inject new instances of Producer / Consumer as well. And since there is no standard way of knowing when the POJO is no longer in need, which is where we can to stop the Producer/Consumer. For singleton scoped this is not a problem as CamelContext will keep track on the created Producer/Consumer in its internal _servicesToClose_. Which is then stopped when CamelContext stops. For prototype we need a different strategy such as - proxy it to use pooled producers/consumers which CamelContext manage the lifecycle - use a shared ProducerTemplate / ConsumerTemplate instead which CamelContext manages the lifecycle - other - maybe some thread local tricks",design_debt,non-optimal_design,"1ab7b8904e240361c4b8aa72427e9a606ecf9aa4,bbdfc68642cc63aa8f379c318fe82d8f5aeef5cb"
camel,2670,comment_1,"@ Charles I just checked out the example, I think you can put all the camel routes configuration files into a single module and use Profile to start the services one by one.",architecture_debt,violation_of_modularity,"ad16da89937bcaf254b5751e0ad3f37a0d5d3ad8,8cb47fa2734ae1f51cfb56158d13b98fa870a8d2"
camel,2682,description,This allows end users to continue routing the original message. Instead of now the just get the last splitted message which is confusing.,design_debt,non-optimal_design,"4b00f97f5d1ae88f3224037675bfa91033e6c453,e855544f18e2a23d13086712f9517612ac323d0d"
camel,2756,comment_0,Willem I think the xxxConverter name is misleading as you would think its a Camel TypeConverter. I wonder if there is a better naming for this? or the likes.,code_debt,low_quality_code,"a9ba53e80da66b422f05fda5dbb527b17deaab39,dd1cf5253db0e921fb086182e3cd9b18f494b6ad,4d73162f027af5549a780960cee48f518f48db1c"
camel,2879,description,"The file strategies was not designed to be as flexible as we may want them today, when introducing more and more options to dictate what should happens with the files when success or failure. As we got - noop - delete - move - moveFailed etc. you may combine then in ways in which we current doesn't support. You should be able to say that if OK then just delete the file, but if ERROR then move it to this error folder instead.",design_debt,non-optimal_design,5799e6d0b2bfcdb3fcafc87ce6a6849804fdefd1
camel,2892,summary,remove ugly warnings running tests since upgrading to jetty 7,code_debt,dead_code,6d8acc781a940470cf21cd196bdf995111f873d1
camel,2979,comment_3,"Hi I've tested this and it works. When logging in with incorrect user/pass it only polls once and skips, which is nice. However could it be possible for the component to throw an exception as I would like to catch this exception and make sure that no further polls are done to the ftp (ie shut down the route/application).",design_debt,non-optimal_design,"b36c9ef8799afed4cda45bc09312ab5b86e3a593,a70187fdac9058f5483d98bdc16b62538ab9d194"
camel,3048,summary,Archetype for creating component should have better sample component,design_debt,non-optimal_design,df7ee396ac7c4f9beb917652a0c4e653a97e589b
camel,3048,description,The current sample is based on Direct component which is a bad sample as its a very special component. We should do a HelloWorldComponent - the producer will just print the message body to system out - the consumer is scheduled and triggers every 5th second with a dummy exchange,design_debt,non-optimal_design,df7ee396ac7c4f9beb917652a0c4e653a97e589b
camel,3050,description,"Spring 3 changed internally how dependency resolution works. Its now worse as we have to play tricks in the Camel namespace handler to tell Camel the various pieces you can ref, should depend on Camel. Otherwise the dependency resolution in Spring is not working properly. This used to work like a charm in Spring 2.5.6.",design_debt,non-optimal_design,85340945239689f51f25d29bbb79727d728b2076
camel,3077,summary,Cache Component needs to check for null values during GET operations,design_debt,non-optimal_design,1fab0408c5493502fcba171b11b66954d846e092
camel,3077,description,"EhCache often has a bit of lag time when invalidating expired cache elements, first setting the Element value to null and then removing the key. If you are hitting a cache rapidly one often will run across a key that is present in the cache that still has a null element entry. The logic for successfully key retrieval just needs to be slightly tweaked to check for null values.",design_debt,non-optimal_design,1fab0408c5493502fcba171b11b66954d846e092
camel,3100,summary,${file:length} should return 0 instead of null if the file length is 0,code_debt,low_quality_code,"559993248cdaa590466e708652b1a5d4bcdf17b0,8ee585df74e4b1bfacca3df90cc99e47b91e2c64,75b0290c78e33ae2ca3b0b38f01f5c0df17ba092"
camel,3112,description,To make it easier to read/write files using that given encoding. Currently you have to set that as a property on the Exchange using setProperty in the DSL. But when using @Produce or @Consume you only got the endpoint uri. So having this in the component makes it easier.,design_debt,non-optimal_design,"be1a55e6e82f3e615fe1c6337a72ecb9f52c1682,e11a4a3749e23953e00ccfcdfdd05c36ac610130,a33da51055cf141780e714a74e7bad79ce9a5382"
camel,3125,summary,"When the fetching of a feed causes, polling continues endlessly, flooding the logs and creating unwanted network load.",design_debt,non-optimal_design,1fad136fe822819607c0de79df61b3c9ace4f8a5
camel,3125,description,"The problem is with the default implementation of When an error occurs rollback() is called, and this method just logs the error and returns false, which means the polling will not be retried for that execution of the run() method. This means it will be retried after the delay. I created an implementation that suspends the Consumer, which seems like acceptable default behavior. It also allows for extension and adding some hooks for custom stuff. In order for that to be useful it should be made easier to set your own implementation.",design_debt,non-optimal_design,1fad136fe822819607c0de79df61b3c9ace4f8a5
camel,3139,summary,Use as the default uuid generator as its faster than the JDK UUID generator,design_debt,non-optimal_design,ae86bdf88cb4d25a622a8f25253aa80e1e9805da
camel,3139,description,The Java UUID is too slow. Switching back to AMQ based will improve performance. We should just have to switch to use the JDK UUID for the camel-gae component as it cannot use the AMQ based.,design_debt,non-optimal_design,ae86bdf88cb4d25a622a8f25253aa80e1e9805da
camel,3287,summary,remove http feature from Camel features as its duplicated in Karaf,code_debt,duplicated_code,a775051d8c639b24d8cc1f6365593e1197ce4924
camel,3315,comment_2,Tracy I think the SMX bundle is *wrong* as Jasypt 1.7 got rid of commons-lang and commons-codec (the latter has bugs). So we need an updated SMX bundle which *do not* important/use any of those commons stuff.,architecture_debt,using_obsolete_technology,9367683f82685d1569d53d3986d85bf94d3b29bc
camel,3315,comment_5,I would like to upgrade to Jasypt 1.7 as we can lose the JDK1.5 stuff and other dependencies which is no longer needed.,architecture_debt,using_obsolete_technology,9367683f82685d1569d53d3986d85bf94d3b29bc
camel,3349,summary,Race condition found in CxfRsEndpoint while getting the endpoint binding under load and performing sync and async invocation,code_debt,multi-thread_correctness,52776db21906cc1d1e23aff3917cf9c65a16c54e
camel,3349,comment_0,"Made the getBinding() method synchronized to overcome this issue. The penalty for this is very minimal since, the need for creating a binding is only on the first set of invocations. The binding is then held until the endpoint is in operation.",code_debt,multi-thread_correctness,52776db21906cc1d1e23aff3917cf9c65a16c54e
camel,3349,comment_2,Nice catch. I wonder if the initialization of the binding can be done in doStart. This is much better as it would avoid the synchronized block on the getter. Which I assume is invoked lazy at runtime on processing a new Exchange. Generally initialization should be done in doStart because starting it is single threaded and we don't care _so much_ about performance at startup.,code_debt,multi-thread_correctness,52776db21906cc1d1e23aff3917cf9c65a16c54e
camel,3351,comment_1,All irc events are just logged (I missed it in the logs). In this case the collision is logged as well as the server initiated disconnect. However the component code is unaware of the state. In general there are a lot of useful things that could be done with the various IRC events. Specifically though the code needs to be aware of disconnects.,design_debt,non-optimal_design,8f192e57dcc08277193d07500f4414cf8c17e3f9
camel,3351,comment_2,I got carried away and made several changes and fixed a minor bug. Here are my notes: IrcComponent: - Removed IrcConfiguration member variable. Didn't make sense. Removed constructor with IrcConfiguration as the param. - ircLogger moved to method. IrcProducer: - Changed doStart to call instead of doing it in the start method. Ditto for IrcConsumer removing dupe code. - Check to see if we're still connected before sending a message in process. If disconnected throw a - Removed unused imports - Add a listener so we can get error messages - Change listener type from to IRCEventAdapter and added getter/setter for easier testing - doStop didn't remove the listener fixed. Added. This would've caused an NPE if a user was stopping individual routes. IrcConsumer: - Changed doStart to call instead of doing it in the start method. - Removed unused imports - Added check in onKick to see if we got kicked and rejoin if so - Change listener type from to IRCEventAdapter and added getter/setter for easier testing IrcEndpoint: - Extracted method getExchange. Same 2 lines of code in 9 methods. Slightly cleaner this way. - Added handleIrcError to handle any IRC errors that the producer or consumer hit - Added handleNickInUse to handle nick in use errors. On endpoint startup this would cause a failed connection. For the Consumer this would just mean we'd never consume anything. For the Producer sends would throw an NPE (now there's a check for a valid connection and is thrown instead) - Added method joinChannels - Added method joinChannel IrcConfiguration - Add autoRejoin setting - Changed key storage to a Dictionary. Added several new tests using mockito,code_debt,duplicated_code,8f192e57dcc08277193d07500f4414cf8c17e3f9
camel,3524,description,"By default Jetty uses 30 sec timeout for continuations. We should allow end users to configure a value of choice, in case their system may take longer time to process an exchange.",design_debt,non-optimal_design,522c5fa937a63e45104bc700c0fe878ede2f0501
camel,3576,description,When using camel-jms the consumers dont provide a default task executor. That means spring just creates a thread manually and dont reuse the thread. We should provided a task executor from camel using the This allows us to use human readable thread names which can provide details about the consumer. The thread pool is also managed and even a 3rd party provider can manage thread creation. This only works when using Spring 3 as the task executor API is now aligned with the executor service api from the JDK. For Spring 2.x users we should not do this. We will then have to detect the spring version in use.,design_debt,non-optimal_design,"a19f79f23ee423c71477f47a3e20829927e72e13,abc2315ff7c69d15a65c835d46b12e79ff9f8a8f"
camel,3576,comment_1,"trunk: 1067682. Don't use thread pool for single threaded reply manager as Spring DMLC is a bit pants as it will keep using new tasks every second when idle, and that just confuses people, as task count will grow very large.",design_debt,non-optimal_design,"a19f79f23ee423c71477f47a3e20829927e72e13,abc2315ff7c69d15a65c835d46b12e79ff9f8a8f"
camel,3709,description,"When using together with from(Endpoint), the below Exception occurs during the routes building process. Looking at reveals, that the FromDefintion just created has no URI. That causes the comparison to all the interceptFroms' URIs to fail. As far as I can tell, the way to fix this would be to add in the constructor endpoint)}}. Below the stack trace, there is a unit test that demonstrates the issue. Until it if fixed, it can be easily circumvented by adding the commented-out line, and then change to",test_debt,low_coverage,"4c37e77322ae827f0e87de052c376eeb549f5ce6,36c26459b728d21ca3b3ef4c6727b82d0f6881be,c290dfc21e97b04173186a1ea362a83303a390bb"
camel,3764,description,to replace the use of the hacked and make it consistent across all components.,design_debt,non-optimal_design,6582b8a3268af4db9306fee7a78bbed7328d945c
camel,3769,comment_0,I suggest to change this section of the code to always use getInstance instead of getDefaultInstance.,code_debt,low_quality_code,f37b27a8e4eccd58ec782a5e8e24abf5cb9c9ed9
camel,3888,comment_1,"Dan as said before just because a method is deprecated do *not* mean we should not unit test it. And hence why you would see unit test that uses the deprecated methods. The handled(true|false) on try .. catch, error handler, was a mistake and there are *no* alternative on those. Instead you should use for example onException (exception clause). Or in case of a doCatch you can rethrow the exception if you want that.",code_debt,low_quality_code,12ebe280ed618b92a9c32999f8be745b3858aff4
camel,4007,description,"If attachment file names contain unicode characters, they do not appear correctly encoded in the message.",code_debt,low_quality_code,bf8e04425bf9e4eeccefb1a2cd200aa2f76a53db
camel,4132,description,The camel-atom component is using an ancient incubator version of abdera which will make it hard to work with camel-cxf. Updating to 1.1.2 which is what CXF uses would help.,architecture_debt,using_obsolete_technology,85645b06a14f07c3ce43990df9964dd01b6878cd
camel,4139,description,"Currently, spring parses into a CxfEndpointBean whereas blueprint parses into a CxfEndpoint directly. This mismatch then requires extra casting in the CxfComponent. Also, it means there are features supported by Spring that are not supported yet by blueprint (like configuring interceptors). I'm attaching a patch that removes the spring specific CxfEndpointBean stuff and allows both spring and blueprint to parse directly into the CxfEndpoint (well, subclasses of) so the two approaches can be maintained together. It also reduces the usage of ""Strings"" for properties in CxfEndpoint and uses QNames where appropriate (added a Converter for that) and Class<?",code_debt,complex_code,"c15e5239065be1ca3ed2d145b007d7eb053f5329,f40d6d9cdfd24acf51be6b1dea7e5435590d2ffb"
camel,4202,summary,camel-jms - Using request/reply over persistent queues should be faster,code_debt,slow_algorithm,"24d805b9c41be7bac1c3e40d47ceac8b46ee2f94,b785ab7666c28ad402efea4f7db73b5f2bcaaf32,ead75bffc392cf682af0b2e179d08177c8748c53"
camel,4202,description,"See nabble When using persistent replyTo queues for request/reply over JMS, then the ReplyManager should be faster to pickup replies. The default spring-jms timeout is 1 sec and it impacts the performance. Likewise the receiveTimeout should not be set on the reply managers as that does not apply here.",code_debt,slow_algorithm,"24d805b9c41be7bac1c3e40d47ceac8b46ee2f94,b785ab7666c28ad402efea4f7db73b5f2bcaaf32,ead75bffc392cf682af0b2e179d08177c8748c53"
camel,4202,comment_0,"Okay I think there is a tradeoff if we lower the spring receiveTimeout to lower than 1 sec. For example if we use 1 millis, then it will overload and send pull packets to the AMQ broker to receive messages. The reason why temporary queues is faster is because they dont have any JMSMessageListener as the persistent does. So with temporary queues it can pull every 1sec and pickup messages as fast as possible, as the received message is always for the reply manager.",code_debt,slow_algorithm,"24d805b9c41be7bac1c3e40d47ceac8b46ee2f94,b785ab7666c28ad402efea4f7db73b5f2bcaaf32,ead75bffc392cf682af0b2e179d08177c8748c53"
camel,4202,comment_1,A workaround is for the end user to use to eg pull messages 4 times per sec and thus be 4x faster.,design_debt,non-optimal_design,"24d805b9c41be7bac1c3e40d47ceac8b46ee2f94,b785ab7666c28ad402efea4f7db73b5f2bcaaf32,ead75bffc392cf682af0b2e179d08177c8748c53"
